X,Y,landmarkid,landmarkco,landmarkna,landmarkad,address
121.225699,24.95369498,1.00E+12,301,中壢火車站,1000302,桃園縣中壢市石頭里中和路139號
121.463374,25.01433398,6.50E+12,301,板橋火車站,6500001,新北市板橋區縣民大道2段7號
120.654137,24.37807603,6.60E+12,301,日南火車站,6600011,台中市大甲區孟春里中山路二段140巷8號
121.9086969,25.02185496,6.50E+12,301,貢寮火車站,6500026,新北市貢寮區貢寮村朝陽街33號
120.542499,24.154013,6.60E+12,301,大肚火車站,6600024,台中市大肚區平和街121號
121.6937854,25.07792294,1.00E+12,301,百福火車站,1001702,基隆市明德三路1-1號
120.867201,24.64187502,1.00E+12,301,造橋火車站,1000515,苗栗縣造橋鄉造橋村平仁路54號
121.083024,24.74800094,1.00E+12,301,榮華火車站,1000402,新竹縣竹東鎮仁愛里(無站房)
121.0083053,24.80711126,1.00E+12,301,千甲火車站,1001801,新竹市水源里千甲路142號
121.82245,24.85895205,1.00E+12,301,頭城火車站,1000204,宜蘭縣頭城鎮城北里纘祥路59號
121.945104,24.97833706,1.00E+12,301,石城火車站,1000204,宜蘭縣頭城鎮石城里濱海路七段230號
120.971658,24.80167692,1.00E+12,301,新竹火車站,1001801,新竹市東區榮光里6鄰中華路二段445號
121.50131,25.03362095,6.30E+12,301,萬華火車站(東站),6300007,台北市萬華區富福里康定路319號
121.822565,25.06557206,6.50E+12,301,三貂嶺火車站,6500012,新北市瑞芳區碩仁里魚寮路1號
121.667501,25.07784008,6.50E+12,301,五堵火車站,6500011,新北市汐止區長安里長安路17號
121.313447,24.98918401,1.00E+12,301,桃園火車站,1000301,桃園縣桃園市武陵里中正路1號
121.655379,24.17201704,1.00E+12,301,崇德火車站,1001511,花蓮縣秀林鄉海濱路96號
121.7758909,24.44889406,1.00E+12,301,武塔火車站,1000212,宜蘭縣南澳鄉
120.557585,24.23716998,6.60E+12,301,沙鹿火車站,6600013,台中市沙鹿區中正街94號
120.6270719,24.34440401,6.60E+12,301,大甲火車站,6600011,台中市大甲區中山路一段828號
120.6784111,24.49138895,1.00E+12,301,通霄火車站,1000503,苗栗縣通霄鎮通西里中山路109號
120.7581599,24.61167802,1.00E+12,301,龍港火車站,1000506,苗栗縣後龍鎮龍京里7鄰公司寮85號
120.695232,24.54020408,1.00E+12,301,新埔火車站,1000503,苗栗縣通霄鎮新埔里8鄰57號
120.871647,24.722874,1.00E+12,301,崎頂火車站,1000504,苗栗縣竹南鎮崎頂里56號
120.700137,24.16662202,6.60E+12,301,太原火車站,6600008,台中市北屯區東光路833號
120.543358,24.19745902,6.60E+12,301,龍井火車站,6600025,台中市龍井區龍新路1號
121.7117939,24.24219909,1.00E+12,301,和仁火車站,1001511,花蓮縣秀林鄉和仁路71號
120.83186,24.25771701,6.60E+12,301,東勢火車站(閒),6600010,台中市東勢區
121.753412,24.29834204,1.00E+12,301,和平火車站,1001511,花蓮縣秀林鄉和平村276號
120.60232,24.30436999,6.60E+12,301,台中港火車站,6600012,台中市清水區甲南路2號
120.732877,24.30929407,6.60E+12,301,后里火車站,6600015,台中市后里區甲后路1號
120.7818529,24.38797407,1.00E+12,301,勝興火車站(閒),1000513,苗栗縣三義鄉
120.773922,24.42067506,1.00E+12,301,三義火車站,1000513,苗栗縣三義鄉雙湖村90號
120.651458,24.44344296,1.00E+12,301,苑裡火車站,1000502,苗栗縣苑裡鎮中山路165號
121.8009149,24.4633821,1.00E+12,301,南澳火車站,1000203,宜蘭縣蘇澳鎮南強里大通路22號
120.786135,24.48626601,1.00E+12,301,銅鑼火車站,1000510,苗栗縣銅鑼鄉銅鑼村大同路13號
120.791549,24.52250401,1.00E+12,301,南勢火車站,1000501,苗栗縣苗栗市新英里南勢39號
121.851241,24.59508201,1.00E+12,301,蘇澳火車站,1000203,宜蘭縣蘇澳鎮蘇南里太平路1號
120.823571,24.60120501,1.00E+12,301,豐富火車站,1000506,苗栗縣後龍鎮新港路116號
121.827256,24.60869298,1.00E+12,301,蘇澳新火車站,1000203,宜蘭縣蘇澳鎮中山路二段238號
120.787118,24.61590103,1.00E+12,301,後龍火車站,1000506,苗栗縣後龍鎮北龍里車站街127號
121.8445269,24.56836905,1.00E+12,301,永樂火車站,1000203,宜蘭縣蘇澳鎮永樂里圳頭路60號
121.792093,24.63634301,1.00E+12,301,冬山火車站,1000208,宜蘭縣冬山鄉冬山村中華路1號
120.8037741,24.64564899,1.00E+12,301,大山火車站,1000506,苗栗縣後龍鎮大山里明山路180號
120.858261,24.65641801,1.00E+12,301,談文火車站,1000515,苗栗縣造橋鄉談文村仁愛路29號
121.7743519,24.67789109,1.00E+12,301,羅東火車站,1000202,宜蘭縣羅東鎮大新里公正路2號
120.8804941,24.68662303,1.00E+12,301,竹南火車站,1000504,苗栗縣竹南鎮中山路166號
